[0.000000] (-) TimerEvent: {}
[0.000253] (-) JobUnselected: {'identifier': 'LineFollower'}
[0.000695] (-) JobUnselected: {'identifier': 'drive_tb3'}
[0.000773] (-) JobUnselected: {'identifier': 'drive_turtle'}
[0.000801] (-) JobUnselected: {'identifier': 'my_cpp_py_pkg'}
[0.000841] (-) JobUnselected: {'identifier': 'navigation_tb3'}
[0.000886] (-) JobUnselected: {'identifier': 'point_cloud_processing'}
[0.000909] (-) JobUnselected: {'identifier': 'robot_control'}
[0.000947] (-) JobUnselected: {'identifier': 'robot_cpp'}
[0.000990] (-) JobUnselected: {'identifier': 'robot_python'}
[0.001279] (-) JobUnselected: {'identifier': 'robot_sensing'}
[0.001380] (-) JobUnselected: {'identifier': 'robot_test'}
[0.001431] (-) JobUnselected: {'identifier': 'ros_fundamental'}
[0.001456] (-) JobUnselected: {'identifier': 'turtlebot3'}
[0.001479] (-) JobUnselected: {'identifier': 'turtlebot3_bringup'}
[0.001502] (-) JobUnselected: {'identifier': 'turtlebot3_cartographer'}
[0.001524] (-) JobUnselected: {'identifier': 'turtlebot3_description'}
[0.001545] (-) JobUnselected: {'identifier': 'turtlebot3_example'}
[0.001567] (-) JobUnselected: {'identifier': 'turtlebot3_navigation2'}
[0.001618] (-) JobUnselected: {'identifier': 'turtlebot3_node'}
[0.001640] (-) JobUnselected: {'identifier': 'turtlebot3_teleop'}
[0.001661] (-) JobUnselected: {'identifier': 'urdf_tutorial_r2d2'}
[0.001684] (-) EventReactorShutdown: {}
